species_id,species,superclass,class,order,family,subfamily,genus,epithet,author,common_name_br,category_iucn,endemic_br
bir_1,Rhea americana,Tetrapoda,Aves,Rheiformes,Rheidae,NA,Rhea,americana,"(Linnaeus, 1758)",ema,BR,NA
bir_2,Tinamus tao,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Tinamus,tao,"Temminck, 1815",azulona,BR,NA
bir_3,Tinamus solitarius,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Tinamus,solitarius,"(Vieillot, 1819)",macuco,BR,NA
bir_4,Tinamus major,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Tinamus,major,"(Gmelin, 1789)",inhambu-serra,BR,NA
bir_5,Tinamus guttatus,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Tinamus,guttatus,"Pelzeln, 1863",inhambu-galinha,BR,NA
bir_6,Crypturellus cinereus,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,cinereus,"(Gmelin, 1789)",inhambu-pixuna,BR,NA
bir_7,Crypturellus soui,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,soui,"(Hermann, 1783)",tururim,BR,NA
bir_8,Crypturellus obsoletus,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,obsoletus,"(Temminck, 1815)",inhambuguaçu,BR,NA
bir_9,Crypturellus undulatus,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,undulatus,"(Temminck, 1815)",jaó,BR,NA
bir_10,Crypturellus strigulosus,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,strigulosus,"(Temminck, 1815)",inhambu-relógio,BR,NA
bir_11,Crypturellus duidae,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,duidae,"Zimmer, 1938",inhambu-de-pé-cinza,BR#,NA
bir_12,Crypturellus erythropus,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,erythropus,"(Pelzeln, 1863)",inhambu-de-perna-vermelha,BR,NA
bir_13,Crypturellus zabele,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,zabele,"(Spix, 1825)",zabelê,"BR, En",NA
bir_14,Crypturellus noctivagus,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,noctivagus,"(Wied, 1820)",jaó-do-sul,"BR, En",NA
bir_15,Crypturellus atrocapillus,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,atrocapillus,"(Tschudi, 1844)",inhambu-de-coroa-preta,BR,NA
bir_16,Crypturellus variegatus,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,variegatus,"(Gmelin, 1789)",inhambu-anhangá,BR,NA
bir_17,Crypturellus brevirostris,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,brevirostris,"(Pelzeln, 1863)",inhambu-carijó,BR,NA
bir_18,Crypturellus bartletti,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,bartletti,"(Sclater & Salvin, 1873)",inhambu-anhangaí,BR,NA
bir_19,Crypturellus parvirostris,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,parvirostris,"(Wagler, 1827)",inhambu-chororó,BR,NA
bir_20,Crypturellus tataupa,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Crypturellus,tataupa,"(Temminck, 1815)",inhambu-chintã,BR,NA
bir_21,Rhynchotus rufescens,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Rhynchotus,rufescens,"(Temminck, 1815)",perdiz,BR,NA
bir_22,Nothura boraquira,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Nothura,boraquira,"(Spix, 1825)",codorna-do-nordeste,BR,NA
bir_23,Nothura minor,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Nothura,minor,"(Spix, 1825)",codorna-mineira,BR,NA
bir_24,Nothura maculosa,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Nothura,maculosa,"(Temminck, 1815)",codorna-amarela,BR,NA
bir_25,Taoniscus nanus,Tetrapoda,Aves,Tinamiformes,Tinamidae,NA,Taoniscus,nanus,"(Temminck, 1815)",codorna-carapé,BR,NA
bir_26,Anhima cornuta,Tetrapoda,Aves,Anseriformes,Anhimidae,NA,Anhima,cornuta,"(Linnaeus, 1766)",anhuma,BR,NA
bir_27,Chauna torquata,Tetrapoda,Aves,Anseriformes,Anhimidae,NA,Chauna,torquata,"(Oken, 1816)",tachã,BR,NA
bir_28,Dendrocygna bicolor,Tetrapoda,Aves,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,bicolor,"(Vieillot, 1816)",marreca-caneleira,"BR, VI (W)",NA
bir_29,Dendrocygna viduata,Tetrapoda,Aves,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,viduata,"(Linnaeus, 1766)",irerê,BR,NA
bir_30,Dendrocygna autumnalis,Tetrapoda,Aves,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,autumnalis,"(Linnaeus, 1758)",marreca-cabocla,BR,NA
bir_31,Cygnus melancoryphus,Tetrapoda,Aves,Anseriformes,Anatidae,Anserinae,Cygnus,melancoryphus,"(Molina, 1782)",cisne-de-pescoço-preto,BR,NA
bir_32,Coscoroba coscoroba,Tetrapoda,Aves,Anseriformes,Anatidae,Anserinae,Coscoroba,coscoroba,"(Molina, 1782)",capororoca,BR,NA
bir_33,Neochen jubata,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Neochen,jubata,"(Spix, 1825)",pato-corredor,BR,NA
bir_34,Chloephaga picta,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Chloephaga,picta,"(Gmelin, 1789)",ganso-de-magalhães,VA (S),NA
bir_35,Cairina moschata,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Cairina,moschata,"(Linnaeus, 1758)",pato-do-mato,BR,NA
bir_36,Sarkidiornis sylvicola,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Sarkidiornis,sylvicola,"Ihering & Ihering, 1907",pato-de-crista,BR,NA
bir_37,Callonetta leucophrys,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Callonetta,leucophrys,"(Vieillot, 1816)",marreca-de-coleira,BR,NA
bir_38,Amazonetta brasiliensis,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Amazonetta,brasiliensis,"(Gmelin, 1789)",marreca-ananaí,BR,NA
bir_39,Spatula versicolor,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Spatula,versicolor,"(Vieillot, 1816)",marreca-cricri,"BR, VI (W)",NA
bir_40,Spatula platalea,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Spatula,platalea,"(Vieillot, 1816)",marreca-colhereira,"VI (S), BR",NA
bir_41,Spatula discors,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Spatula,discors,"(Linnaeus, 1766)",marreca-de-asa-azul,VI (N),NA
bir_42,Spatula cyanoptera,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Spatula,cyanoptera,"(Vieillot, 1816)",marreca-colorada,VA (S),NA
bir_43,Mareca sibilatrix,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Mareca,sibilatrix,"(Poeppig, 1829)",marreca-oveira,VI (S),NA
bir_44,Anas bahamensis,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Anas,bahamensis,"Linnaeus, 1758",marreca-toicinho,BR,NA
bir_45,Anas acuta,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Anas,acuta,"Linnaeus, 1758",arrabio,"VA (N?, E?)",NA
bir_46,Anas georgica,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Anas,georgica,"Gmelin, 1789",marreca-parda,"BR, VI (W)",NA
bir_47,Anas flavirostris,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Anas,flavirostris,"Vieillot, 1816",marreca-pardinha,BR,NA
bir_48,Netta erythrophthalma,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Netta,erythrophthalma,"(Wied, 1833)",paturi-preta,BR,NA
bir_49,Netta peposaca,Tetrapoda,Aves,Anseriformes,Anatidae,Anatinae,Netta,peposaca,"(Vieillot, 1816)",marrecão,"VI (W), BR",NA
