species_id,species,superclass,class,order,family,subfamily,genus,epithet,author,common_name_br,category_iucn,endemic_br
fis_1,Oreochromis niloticus,Osteichthyes,Teleostei,Cichliformes,Cichlidae,Pseudocrenilabrinae,Oreochromis,niloticus,"(Linnaeus, 1758)",Tilápia | Tilápia-do-nilo | Tilápia-do-Nilo,0,introduced
fis_2,Oreochromis mossambicus,Osteichthyes,Teleostei,Cichliformes,Cichlidae,Pseudocrenilabrinae,Oreochromis,mossambicus,"(Peters, 1852)",Tilápia-de-Moçambique,0,introduced
fis_3,Coryphaena hippurus,Osteichthyes,Teleostei,Carangiformes,Coryphaenidae,NA,Coryphaena,hippurus,"Linnaeus, 1758",Dalfinho | Delfim | Doirado | Doirado-de-topete | Doirado-macho | Dourada | Dourado | Dourado comum | Dourado-de-alto-mar | Dourado-do-mar | Graçapé | Grassapé | Guaraçapé | Guaraçapema | Macaco | Peixe tábua | Sapatorra | Sapé,0,native
fis_4,Coryphaena equiselis,Osteichthyes,Teleostei,Carangiformes,Coryphaenidae,NA,Coryphaena,equiselis,"Linnaeus, 1758",Delfim | Doirado | Doirado-amarelo | Doirado-fêmea | Doirado-pampo | Dourado | Dourado-amarelo | Dourado-palombeta | Dourado-pampo | Sapatorra,0,native
fis_5,Cephalopholis cruentata,Osteichthyes,Teleostei,Perciformes/Serranoidei,Epinephelidae,NA,Cephalopholis,cruentata,"(Lacepède, 1802)",Garoupa-chita,0,native
fis_6,Epinephelus adscensionis,Osteichthyes,Teleostei,Perciformes/Serranoidei,Epinephelidae,NA,Epinephelus,adscensionis,"(Osbeck, 1765)",Badejo | Badejo-pintado | Garoupa-chita | Garoupa-pintada | Gato | Peixe-gato | Piragica | Pirapiranga,0,native
fis_7,Epinephelus guttatus,Osteichthyes,Teleostei,Perciformes/Serranoidei,Epinephelidae,NA,Epinephelus,guttatus,"(Linnaeus, 1758)",Garoupa | Garoupa-pintada,0,native
fis_8,Epinephelus itajara,Osteichthyes,Teleostei,Perciformes/Serranoidei,Epinephelidae,NA,Epinephelus,itajara,"(Lichtenstein, 1822)",Badejo | Canapu | Canapú | Canapuguaçu | Canapu-guaçu | Camapu | Cunapu-guaçu | Garoupa | Mero-canapu | Mero-canapum | Merete | Mero | Mero-preto | Merote | Mero-tigre | Mirete,0,native
fis_9,Epinephelus morio,Osteichthyes,Teleostei,Perciformes/Serranoidei,Epinephelidae,NA,Epinephelus,morio,"(Valenciennes, 1828)",Garoupa vermelha-de-abrolhos | Garoupa-bichada | Garoupa-de-Sao Tomé | Garoupa-de-São-Tomé | Garoupa-de-segunda | Garoupa | Garoupa de Sao Tomé | Garoupa de São Tomé | Garoupa-São-Tomé | Garoupa-verdadeira | Garoupa-vermelha | Garoupa-vermelha-dos-Abrolhos | Mero-americano | Piragia,0,native
fis_10,Epinephelus striatus,Osteichthyes,Teleostei,Perciformes/Serranoidei,Epinephelidae,NA,Epinephelus,striatus,"(Bloch, 1792)",Garoupa pintada | Garoupa-de-nassau | Garoupa-de-trindade | Garoupa | Garoupa-trindade | Mero-crioulo,0,native
fis_11,Balistes vetula,Osteichthyes,Teleostei,Tetraodontiformes,Balistidae,NA,Balistes,vetula,"Linnaeus, 1758",Cangulo | Cangulo papo-amarelo | Cangulo-do-alto | Cangulo-fernande | Cangulo-pintado | Cangulo-real | Cangulo-rei | Cangulo-verdadeiro | Cangurro | Capado | Gatilho-rainha | Lírio | Peixe porco | Peixe-gatilho | Peixe-porco | Peroá | Piruá,0,native
fis_12,Anguilla anguilla,Osteichthyes,Teleostei,Anguilliformes,Anguillidae,NA,Anguilla,anguilla,"(Linnaeus, 1758)",Angula | Eiró | Enguia | Enguia-europeia | Iró | Meixão,0,not established
fis_13,Agonus cataphractus,Osteichthyes,Teleostei,Perciformes/Cottoidei,Agonidae,Agoninae,Agonus,cataphractus,"(Linnaeus, 1758)",NA,0,questionable
fis_14,Argyropelecus affinis,Osteichthyes,Teleostei,Stomiiformes,Sternoptychidae,Sternoptychinae,Argyropelecus,affinis,"Garman, 1899",NA,0,native
fis_15,Melanolagus bericoides,Osteichthyes,Teleostei,Argentiniformes,Bathylagidae,NA,Melanolagus,bericoides,"(Borodin, 1929)",NA,0,native
fis_16,Caranx hippos,Osteichthyes,Teleostei,Carangiformes,Carangidae,Caranginae,Caranx,hippos,"(Linnaeus, 1766)",Aracimbora | Cabeçudo | Carango | Cáranx | Carimbamba | Cavala | Charo-largo | Coa | Coâ | Corimbamba | Enxareu | Enxareu-macoa | Guaracema | Guaracimbora | Guaricema | Guiará | Guiaru | Macoa | Manezinho | Papaterra | Peixe-prussiano | Prussiano | Xarelete | Xaréu | Xaréu preto | Xaréu-branco | Xareu-cavalao | Xaréu-cavalão | Xareu-macoa | Xareu-olho-de-boi | Xaréu-olho-de-boi | Xaréu-roncador | Xaréu-vaqueiro | Xeréu | Xexém,0,native
fis_17,Helicolenus dactylopterus,Osteichthyes,Teleostei,Perciformes/Scorpaenoidei,Sebastidae,Sebastinae,Helicolenus,dactylopterus,"(Delaroche, 1809)",Acantarilho | Boca-negra | Cantarilho | Cantarilho-legítimo | Cantarilha | Cantariz | Galinha rúbia | Galinha-do-mar | Papa-jaca | Rascasso | Requeime | Rocaz | Ronca | Roncaz | Roucaz | Serrão,0,native
fis_18,Istiophorus albicans,Osteichthyes,Teleostei,Carangiformes,Istiophoridae,NA,Istiophorus,albicans,"(Latreille, 1804)",Agulhão | Agulhao bandeira | Agulhao de vela | Agulhao vela | Agulhao-bandeira | Agulhão-bandeira | Agulhão-chato | Agulhão-de-vela | Agulhão-vela | Bicuda | Bicudo | Caravela | Espadarte-veleiro | Espadim-azul | Espardarte veleiro | Guebo | Guebucu | Guebuçu | Guebuçú | Peco | Peixe de vela | Peixe-vela | Valeiro-do-Atlántico | Veleiro | Veleiro do Atlantico | Veleiro do Atlântico | Veleiro-do-Atlántico | Veleiro-do-Atlântico,0,native
fis_19,Ctenopharyngodon idella,Osteichthyes,Teleostei,Cypriniformes,Xenocyprididae,NA,Ctenopharyngodon,idella,"(Valenciennes, 1844)",Carpa-do-limo | Cara-capim | Carpa capim,0,introduced
fis_20,Lamna nasus,Chondrichthyes,Elasmobranchii,Lamniformes,Lamnidae,NA,Lamna,nasus,"(Bonnaterre, 1788)",Anequim | Arrequim | Cação | Marracho | Peixe-cão | Sardo | Tubarâo-sardo | Tubarão-sardo,0,native
fis_21,Acanthocybium solandri,Osteichthyes,Teleostei,Scombriformes,Scombridae,Scombrinae,Acanthocybium,solandri,"(Cuvier, 1832)",Aimpim | Cavala da índia | Cavala empinge | Cavala gigante | Cavala-aimpim | Cavala-aipi | Cavala-aipim | Cavala | Cavala-da-India | Cavala-da-Índia | Cavala-impim | Cavala-pim | Cavala-wahoo | Cavalha empinge | Guarapicu | Guarapucu | Ilhéu | Peixe-fumo | Serra da India | Serra-da-Índia | Wahoo,0,native
fis_22,Cetorhinus maximus,Chondrichthyes,Elasmobranchii,Lamniformes,Cetorhinidae,NA,Cetorhinus,maximus,"(Gunnerus, 1765)",Albafar | Cação-peregrino-argentino | Frade | Peixe frade | Peixe-carago | Peixe-frade | Peregrino | Relengueiro | Tubarão frade | Tubarâo-frade | Tubarão-frade | Tubarão-peregrino,0,native
fis_23,Allothunnus fallai,Osteichthyes,Teleostei,Scombriformes,Scombridae,Scombrinae,Allothunnus,fallai,"Serventy, 1948",Atum elegante | Atum-foguete,0,native
fis_24,Acanthostracion quadricornis,Osteichthyes,Teleostei,Tetraodontiformes,Ostraciidae,NA,Acanthostracion,quadricornis,"(Linnaeus, 1758)",Baiacu-caixão | Baiacú-chifrudo | Baiacu-de-chifre | Chifrudo | Peixe-boi | Peixe-cofre | Peixe-vaca | Taoca | Toaca,0,native
fis_25,Auxis rochei,Osteichthyes,Teleostei,Scombriformes,Scombridae,Scombrinae,Auxis,rochei,"(Risso, 1810)",Atum | Bonito | Bonito-cachorro | Cavala | Judeu | Judeu melveira,0,native
fis_26,Auxis thazard,Osteichthyes,Teleostei,Scombriformes,Scombridae,Scombrinae,Auxis,thazard,"(Lacepède, 1800)",Albacora-bandolim | Atum | Bonito | Bonito-cachorro | Cachorro | Cadelo | Cavala | Chapouto | Gaiado | Judeo | Judeo-liso | Judeu | Judeu-liso e judeu | Merma | Serra,0,native
fis_27,Euthynnus alletteratus,Osteichthyes,Teleostei,Scombriformes,Scombridae,Scombrinae,Euthynnus,alletteratus,"(Rafinesque, 1810)",Albacora | Apluro | Atum | Atún | Bacoreta | Barrilete | Bonito-pintado | Bonito-rajado | Bonito | Bonito-cachorro | Curuatá-pinima | Fule-fule | Melena | Melva | Merma,0,native
fis_28,Alepisaurus ferox,Osteichthyes,Teleostei,Aulopiformes,Alepisauridae,NA,Alepisaurus,ferox,"Lowe, 1833",Lírio-ferro | Peixe-água | Peixe-cavalo,0,native
fis_29,Gasterochisma melampus,Osteichthyes,Teleostei,Scombriformes,Scombridae,Gasterochismatinae,Gasterochisma,melampus,"Richardson, 1845",Serra-borboleta,0,native
fis_30,Conger esculentus,Osteichthyes,Teleostei,Anguilliformes,Congridae,Congrinae,Conger,esculentus,"Poey, 1861",NA,0,native
