processid,sampleid,recordID,catalognum,fieldnum,institution_storing,collection_code,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,identification_method,identification_reference,tax_note,voucher_status,tissue_type,collection_event_id,collectors,collectiondate_start,collectiondate_end,collectiontime,collection_note,site_code,sampling_protocol,lifestage,sex,reproduction,habitat,associated_specimens,associated_taxa,extrainfo,notes,lat,lon,coord_source,coord_accuracy,elev,depth,elev_accuracy,depth_accuracy,country,province_state,region,sector,exactsite,image_ids,image_urls,media_descriptors,captions,copyright_holders,copyright_years,copyright_licenses,copyright_institutions,photographers
DBABA327-12,CFBHT00003,2788968,CFBH-2715,,"Universidade Estadual Paulista, Rio Claro",NA,BOLD:ACA3486,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,751119,Lophyohylinae,388504,Nyctimantis,996270,Nyctimantis brunoi,NA,NA,Celio F. B. Haddad,NA,,NA,,,NA,Celio F. B. Haddad,NA,NA,,NA,NA,NA,,,,NA,NA,NA,Extraction Ndeg A13,,-19.839,-40.248,NA,NA,NA,NA,NA,NA,Brazil,Espirito Santo,Aracruz,NA,,NA,,,NA,,NA,,,
DBABA549-12,CFBHT04572b,2789190,CFBH-14253,KZ 1825,"Universidade Estadual Paulista, Rio Claro",NA,BOLD:ACA3719,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,518638,Leiuperinae,34380,Physalaemus,484761,Physalaemus albonotatus,NA,NA,Celio F. B. Haddad,NA,"Steindachner, 1864",NA,,,NA,Celio F. B. Haddad,NA,NA,,NA,NA,NA,,,,NA,NA,NA,Extraction Ndeg APC03,,-21.157,-56.647,NA,NA,NA,NA,NA,NA,Brazil,Mato Grosso do Sul,Bonito,NA,,NA,,,NA,,NA,,,
DBABA634-12,CFBHT01163,2789275,CFBH-6951,,"Universidade Estadual Paulista, Rio Claro",NA,BOLD:ACA3587,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,101478,Hylinae,182216,Scinax,257809,Scinax fuscovarius,NA,NA,Celio F. B. Haddad,NA,"Lutz, 1925",NA,,,NA,Celio F. B. Haddad,NA,NA,,NA,NA,NA,,,,NA,NA,NA,Extraction Ndeg A210,,-27.565,-51.658,NA,NA,NA,NA,NA,NA,Brazil,Rio Grande do Sul,Machadinho,NA,,NA,,,NA,,NA,,,
DBABA658-12,CFBHT09322,2789299,CFBH-18813,VD - 113,"Universidade Estadual Paulista, Rio Claro",NA,BOLD:ACA3775,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,101478,Hylinae,182216,Scinax,494881,Scinax v-signatus,NA,NA,Celio F. B. Haddad,NA,"Lutz, 1968",NA,,,NA,Celio F. B. Haddad,NA,NA,,NA,NA,NA,,,,NA,NA,NA,Extraction Ndeg A555,,-22.465,-42.997,NA,NA,NA,NA,NA,NA,Brazil,Rio de Janeiro,Teresopolis,NA,,NA,,,NA,,NA,,,
DBAFI1450-14,TG373,4640901,,TG373,"Universidade Estadual Paulista, Rio Claro",NA,BOLD:ACA3486,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,751119,Lophyohylinae,388504,Nyctimantis,996270,Nyctimantis brunoi,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,TG373,,-22.99,-43.588,NA,NA,NA,NA,NA,NA,Brazil,Rio de Janeiro,Rio de Janeiro,NA,,NA,,,NA,,NA,,,
DBAFI249-13,CFBHT02309,3161187,CFBH-9897,,"Universidade Estadual Paulista, Rio Claro",NA,BOLD:ACF7826,18,Chordata,50,Amphibia,219,Anura,659664,Odontophrynidae,NA,,257797,Proceratophrys,779982,Proceratophrys itamari,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,-22.69,-45.474,NA,NA,NA,NA,NA,NA,Brazil,Sao Paulo,Campos do Jordao,NA,,NA,,,NA,,NA,,,
DBAFI299-13,CFBHT10353,3161237,CFBH-21984,,"Universidade Estadual Paulista, Rio Claro",NA,BOLD:ACF6491,18,Chordata,50,Amphibia,219,Anura,34379,Leptodactylidae,518638,Leiuperinae,34380,Physalaemus,519268,Physalaemus barrioi,NA,NA,,NA,"Bokermann, 1967",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,-22.719,-44.618,NA,NA,NA,NA,NA,NA,Brazil,Sao Paulo,Sao Jose do Barreiro,NA,Serra da Bocaina,NA,,,NA,,NA,,,
DBAFI736-13,TG040,3382303,,TG040,"Universidade Estadual Paulista, Rio Claro",NA,BOLD:ACF7430,18,Chordata,50,Amphibia,219,Anura,1381,Hylidae,101478,Hylinae,123207,Dendropsophus,487710,Dendropsophus nanus,NA,NA,,NA,"Boulenger, 1889",NA,,,NA,Thiago Gazoni,NA,NA,,NA,NA,NA,,M,,NA,NA,NA,,,-6.548,-47.445,NA,NA,NA,NA,NA,NA,Brazil,Maranhao,Estreito,NA,,NA,,,NA,,NA,,,
GBAP0241-06,DQ502774,504291,MPEG 11961,,"Mined from GenBank, NCBI",NA,BOLD:AAD8893,18,Chordata,50,Amphibia,219,Anura,80182,Dendrobatidae,112076,Colostethinae,80183,Colostethus,80216,Colostethus sp. Curua-Una,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,Para,"Para,101 km S and 15 km E Santarem (near Rio Curua-Una), 3deg9`S 54deg50`W",NA,,NA,,,NA,,NA,,,
GBAP0361-06,DQ502899,504411,OMNH 37411,,"Mined from GenBank, NCBI",NA,BOLD:AAB0849,18,Chordata,50,Amphibia,219,Anura,169874,Aromobatidae,224962,Allobatinae,81111,Allobates,169888,Allobates caeruleodactylus,NA,NA,,NA,"Lima and Caldwell, 2001",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,Amazonas,"Amazonas,Castanho, ca. 40 km S Manaus, at km 12 on road to Autazes, 3deg37`10.4`S 59deg86`78.4`W",NA,,NA,,,NA,,NA,,,
GBAP10479-19,KJ649800,9705855,,KJ649800,University of Guelph,NA,,18,Chordata,50,Amphibia,219,Anura,257745,Brachycephalidae,NA,,257746,Brachycephalus,527516,Brachycephalus nodoterga,NA,NA,,NA,"Miranda-Ribeiro, 1920",NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP11753-19,MH270246,9707129,,MH270246,"Mined from GenBank, NCBI",NA,BOLD:ACI2647,18,Chordata,50,Amphibia,219,Anura,1384,Bufonidae,NA,,669837,Amazophrynella,905023,Amazophrynella aff. vote sp. 1 RRR-2018,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP11760-19,MH270253,9707136,,MH270253,"Mined from GenBank, NCBI",NA,,18,Chordata,50,Amphibia,219,Anura,1384,Bufonidae,NA,,669837,Amazophrynella,905024,Amazophrynella aff. vote sp. 2 RRR-2018,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP11809-19,MH270298,9707185,,MH270298,"Mined from GenBank, NCBI",NA,,18,Chordata,50,Amphibia,219,Anura,1384,Bufonidae,NA,,669837,Amazophrynella,759147,Amazophrynella manaos,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP11845-19,MH270163,9707221,,MH270163,"Mined from GenBank, NCBI",NA,BOLD:ACB7937,18,Chordata,50,Amphibia,219,Anura,1384,Bufonidae,NA,,669837,Amazophrynella,707397,Amazophrynella minuta,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP11868-19,MH270306,9707244,,MH270306,"Mined from GenBank, NCBI",NA,,18,Chordata,50,Amphibia,219,Anura,1384,Bufonidae,NA,,669837,Amazophrynella,903238,Amazophrynella sp. 1 RRR-2018,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP11885-19,MH270254,9707261,,MH270254,"Mined from GenBank, NCBI",NA,,18,Chordata,50,Amphibia,219,Anura,1384,Bufonidae,NA,,669837,Amazophrynella,903239,Amazophrynella sp. 2 RRR-2018,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
GBAP11911-19,MH270270,9707287,,MH270270,"Mined from GenBank, NCBI",NA,,18,Chordata,50,Amphibia,219,Anura,1384,Bufonidae,NA,,669837,Amazophrynella,903240,Amazophrynella sp. 3 RRR-2018,NA,NA,,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,,,NA,,NA,,,NA,,NA,,,
